Sexo;Vigencia;Edad;qx;Defunciones;Expuestos
M;2005;104;1,00000;2;2
M;2006;104;1,00000;2;2
M;2003;101;0,73684;7;10
M;2003;102;0,66667;4;6
M;2000;98;0,53968;17;32
M;2003;100;0,50000;6;12
M;2002;102;0,50000;6;12
M;2004;102;0,50000;2;4
M;2001;100;0,40000;5;13
M;2001;98;0,38596;11;29
M;2001;101;0,35897;7;20
M;1999;98;0,35294;9;26
M;2006;101;0,35294;6;17
M;2004;97;0,34615;18;52
M;2000;99;0,33333;6;18
M;2005;101;0,33333;6;18
M;2007;100;0,32558;7;22
M;2002;100;0,32258;5;16
M;2003;98;0,31325;13;42
M;1997;95;0,30769;20;65
M;2005;97;0,30089;17;57
M;2003;97;0,30000;18;60
M;2002;99;0,30000;6;20
M;2005;99;0,29412;10;34
M;2003;96;0,28966;21;73
M;2002;97;0,28571;16;56
M;2005;100;0,28571;7;25
M;2004;103;0,28571;1;4
M;2002;98;0,27907;12;43
M;1998;98;0,27848;11;40
M;2003;99;0,27692;9;33
M;2005;96;0,27624;25;91
M;2007;97;0,27027;25;93
M;2003;95;0,26263;26;99
M;2006;100;0,26087;6;23
M;2007;103;0,26087;3;12
M;2001;96;0,25850;19;74
M;1999;96;0,25455;14;55
M;2000;100;0,25455;7;28
M;2001;99;0,24390;5;21
M;2004;96;0,24324;18;74
M;2007;95;0,23423;39;167
M;2002;95;0,23404;22;94
M;2006;96;0,23333;28;120
M;2007;98;0,23077;12;52
M;1998;95;0,22857;16;70
M;1997;94;0,22727;20;88
M;2004;98;0,22727;10;44
M;1999;93;0,22695;32;141
M;2000;95;0,22680;22;97
M;1999;95;0,22222;17;77
M;2006;95;0,22222;33;149
M;2000;97;0,22222;9;41
M;2002;101;0,22222;2;9
M;2007;104;0,22222;1;5
M;2005;105;0,22222;1;5
M;2006;97;0,21898;15;69
M;1997;97;0,21782;11;51
M;2002;96;0,21656;17;79
M;2007;96;0,21459;25;117
M;2001;92;0,20925;43;206
M;2002;94;0,20800;26;125
M;2005;94;0,20800;39;188
M;2006;98;0,20690;9;44
M;2005;95;0,20328;31;153
M;2007;99;0,20290;7;35
M;1997;96;0,20000;8;40
M;2006;99;0,20000;6;30
M;2005;93;0,19685;50;254
M;2001;94;0,19574;23;118
M;2001;91;0,19572;64;327
M;2000;92;0,19459;36;185
M;2004;95;0,19298;22;114
M;1998;93;0,19081;27;142
M;2004;92;0,19063;59;310
M;2004;99;0,18750;6;32
M;2006;94;0,18616;39;210
M;2003;94;0,18571;26;140
M;2004;94;0,18280;34;186
M;2005;98;0,18182;7;39
M;2004;104;0,18182;1;6
M;2003;93;0,18022;41;228
M;1999;92;0,17867;31;174
M;1999;97;0,17778;8;45
M;2002;91;0,17657;55;312
M;2000;94;0,17544;20;114
M;2000;91;0,17391;44;253
M;2005;92;0,16667;48;288
M;1997;93;0,16667;18;108
M;2004;100;0,16667;4;24
M;2002;92;0,16636;45;271
M;2007;93;0,16575;45;272
M;2004;89;0,16541;77;466
M;2006;93;0,16461;40;243
M;2004;93;0,16336;37;227
M;2001;97;0,16216;9;56
M;2007;101;0,16216;3;19
M;1999;90;0,16145;49;304
M;1999;91;0,16071;36;224
M;2002;93;0,16024;27;169
M;2001;95;0,15873;15;95
M;1997;91;0,15857;31;196
M;2005;91;0,15754;59;375
M;2004;91;0,15657;53;339
M;2007;94;0,15461;31;201
M;2007;92;0,15436;46;298
M;2007;102;0,15385;2;13
M;2001;93;0,15282;23;151
M;2004;90;0,15068;66;438
M;1998;97;0,14925;5;34
M;1998;90;0,14857;39;263
M;2003;89;0,14720;75;510
M;2003;90;0,14449;57;395
M;2003;91;0,14422;53;368
M;1997;92;0,14371;24;167
M;2006;91;0,14368;50;348
M;2007;90;0,14317;66;461
M;2002;90;0,14302;61;427
M;2006;102;0,14286;2;14
M;1998;94;0,14208;13;92
M;2000;93;0,14184;20;141
